Salary,Level,Year of Experience,Programming Language,Language,Lang,Location,Cluster
16000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hồ Chí Minh,2
30000000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
15000000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
12500000.0,Nhân viên,2 năm,php,Không yêu cầu,vi,Hồ Chí Minh,2
12500000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hồ Chí Minh,2
31500000.0,Nhân viên,3 năm,Khác,Không yêu cầu,vi,Hà Nội,0
10000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
11500000.0,Thực tập sinh,Dưới 1 năm,javascript,Không yêu cầu,vi,Hà Nội,0
35000000.0,Nhân viên,5 năm,Khác,tiếng anh,en,Hà Nội,1
35000000.0,Trưởng nhóm,5 năm,Khác,tiếng anh,en,Hà Nội,1
34500000.0,Nhân viên,Trên 5 năm,c#,tiếng anh,vi,Hồ Chí Minh,2
34500000.0,Nhân viên,Trên 5 năm,javascript,tiếng anh,vi,Hồ Chí Minh,2
34500000.0,Nhân viên,Trên 5 năm,python,tiếng anh,vi,Hồ Chí Minh,1
34500000.0,Nhân viên,Trên 5 năm,java,tiếng anh,vi,Hồ Chí Minh,2
18400000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
24500000.0,Nhân viên,1 năm,python,Không yêu cầu,en,Hà Nội,1
18000000.0,Nhân viên,Dưới 1 năm,Khác,tiếng nhật,vi,Hà Nội,4
14000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
16500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,en,Hà Nội,1
15000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
32500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
10250000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Khác,5
14000000.0,Nhân viên,2 năm,c,Không yêu cầu,en,Hồ Chí Minh,3
14000000.0,Nhân viên,2 năm,kotlin,Không yêu cầu,en,Hồ Chí Minh,3
30800000.0,Nhân viên,3 năm,java,tiếng anh,vi,Hồ Chí Minh,2
25000000.0,Nhân viên,1 năm,typescript,tiếng anh,en,Hà Nội,1
28500000.0,Nhân viên,4 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
17500000.0,Nhân viên,1 năm,python,tiếng anh,vi,Hà Nội,4
17500000.0,Nhân viên,1 năm,java,tiếng anh,vi,Hà Nội,4
14000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
8000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Khác,5
25000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
26500000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
8000000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
17500000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,4
10000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
11500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
11500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Khác,5
15000000.0,Nhân viên,1 năm,php,Không yêu cầu,vi,Hà Nội,4
11500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
28750000.0,Trưởng nhóm,5 năm,Khác,Không yêu cầu,vi,Hà Nội,0
37500000.0,Nhân viên,5 năm,Khác,Không yêu cầu,vi,Hà Nội,0
25300000.0,Trưởng nhóm,2 năm,Khác,tiếng anh,vi,Hà Nội,4
25300000.0,Trưởng nhóm,2 năm,Khác,tiếng nhật,vi,Hà Nội,4
23500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,en,Hồ Chí Minh,3
12500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,en,Hà Nội,1
35000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,en,Hồ Chí Minh,3
17500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
15000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
21000000.0,Nhân viên,2 năm,c,Không yêu cầu,vi,Hà Nội,0
35000000.0,Nhân viên,3 năm,Khác,Không yêu cầu,en,Hồ Chí Minh,3
15000000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
15000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
35000000.0,Nhân viên,2 năm,Khác,tiếng anh,en,Hồ Chí Minh,3
20000000.0,Nhân viên,3 năm,Khác,tiếng anh,vi,Hà Nội,4
34500000.0,Nhân viên,2 năm,javascript,Không yêu cầu,en,Hà Nội,1
