Salary,Level,Year of Experience,Programming Language,Language,Lang,Location,Cluster
27500000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,4
27500000.0,Nhân viên,2 năm,php,Không yêu cầu,vi,Hà Nội,4
27500000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hà Nội,4
22500000.0,Nhân viên,3 năm,python,Không yêu cầu,vi,Hà Nội,4
22500000.0,Nhân viên,3 năm,javascript,Không yêu cầu,vi,Hà Nội,4
15000000.0,Nhân viên,2 năm,php,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,3 năm,Khác,tiếng anh,vi,Hà Nội,4
15000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
35000000.0,Nhân viên,3 năm,python,Không yêu cầu,vi,Hà Nội,4
35000000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
23000000.0,Nhân viên,1 năm,c,tiếng anh,vi,Hà Nội,4
40000000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,4
12500000.0,Nhân viên,1 năm,java,tiếng nhật,vi,Hà Nội,4
12500000.0,Nhân viên,1 năm,java,tiếng anh,vi,Hà Nội,4
27500000.0,Nhân viên,3 năm,c#,tiếng anh,vi,Hà Nội,4
20000000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,4
20000000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hà Nội,4
21500000.0,Nhân viên,3 năm,javascript,Không yêu cầu,vi,Hà Nội,4
34500000.0,Nhân viên,1 năm,c,tiếng anh,vi,Hà Nội,4
23000000.0,Nhân viên,2 năm,php,Không yêu cầu,vi,Hà Nội,4
25300000.0,Nhân viên,4 năm,Khác,tiếng anh,vi,Hà Nội,4
30000000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,4
30000000.0,Nhân viên,3 năm,php,Không yêu cầu,vi,Hà Nội,4
17500000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,1 năm,python,Không yêu cầu,vi,Hà Nội,4
10000000.0,Nhân viên,2 năm,php,Không yêu cầu,vi,Hà Nội,4
1500000.0,Thực tập sinh,Dưới 1 năm,javascript,tiếng anh,vi,Hà Nội,4
1500000.0,Thực tập sinh,Dưới 1 năm,typescript,tiếng anh,vi,Hà Nội,4
25000000.0,Nhân viên,1 năm,python,Không yêu cầu,vi,Hà Nội,4
22000000.0,Nhân viên,2 năm,python,tiếng anh,vi,Hồ Chí Minh,4
18500000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,4
17500000.0,Nhân viên,1 năm,java,tiếng anh,vi,Hà Nội,4
25000000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,4
35000000.0,Nhân viên,3 năm,java,tiếng anh,vi,Hà Nội,4
40000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,4
15000000.0,Nhân viên,2 năm,java,tiếng anh,vi,Hà Nội,4
15000000.0,Nhân viên,2 năm,javascript,tiếng anh,vi,Hà Nội,4
12500000.0,Nhân viên,Dưới 1 năm,Khác,tiếng nhật,vi,Hà Nội,4
34500000.0,Nhân viên,3 năm,python,Không yêu cầu,vi,Hà Nội,4
34500000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
34500000.0,Nhân viên,3 năm,python,Không yêu cầu,vi,Hà Nội,4
34500000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
34500000.0,Nhân viên,3 năm,python,Không yêu cầu,vi,Hà Nội,4
34500000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
34500000.0,Nhân viên,3 năm,python,Không yêu cầu,vi,Hà Nội,4
34500000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
11000000.0,Nhân viên,1 năm,php,Không yêu cầu,vi,Hà Nội,4
11000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,4
20000000.0,Nhân viên,1 năm,c,tiếng anh,vi,Hà Nội,4
20000000.0,Nhân viên,1 năm,java,tiếng anh,vi,Hà Nội,4
32500000.0,Nhân viên,2 năm,Khác,tiếng nhật,vi,Hà Nội,4
26500000.0,Nhân viên,2 năm,Khác,tiếng nhật,vi,Hà Nội,4
21500000.0,Nhân viên,2 năm,Khác,tiếng nhật,vi,Hà Nội,4
20000000.0,Nhân viên,2 năm,kotlin,Không yêu cầu,vi,Hà Nội,4
15000000.0,Nhân viên,Dưới 1 năm,javascript,tiếng anh,vi,Hà Nội,4
15000000.0,Nhân viên,Dưới 1 năm,typescript,tiếng anh,vi,Hà Nội,4
15000000.0,Nhân viên,Dưới 1 năm,javascript,tiếng anh,vi,Hà Nội,4
15000000.0,Nhân viên,Dưới 1 năm,typescript,tiếng anh,vi,Hà Nội,4
15000000.0,Nhân viên,Dưới 1 năm,python,tiếng anh,vi,Hà Nội,4
