Salary,Level,Year of Experience,Contract Type,Sex,Programming Language,Language,Location
35000000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,c++,Không yêu cầu,Hà Nội
12500000.0,Nhân viên,1 năm,Toàn thời gian,Nam,Khác,Không yêu cầu,Hà Nội
25300000.0,Nhân viên,Trên 5 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hà Nội
12500000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
12500000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
12500000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
19000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hồ Chí Minh
32000000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,c#,Không yêu cầu,Khác
32000000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,python,Không yêu cầu,Khác
32000000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,javascript,Không yêu cầu,Khác
13500000.0,Nhân viên,Dưới 1 năm,Toàn thời gian,Không yêu cầu,typescript,tiếng anh,Hà Nội
17250000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,python,Không yêu cầu,Hà Nội
23000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,python,Không yêu cầu,Hà Nội
23000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,java,Không yêu cầu,Hà Nội
30000000.0,Nhân viên,5 năm,Toàn thời gian,Nam,javascript,Không yêu cầu,Hà Nội
30000000.0,Nhân viên,5 năm,Toàn thời gian,Nam,java,Không yêu cầu,Hà Nội
20000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hà Nội
15000000.0,Nhân viên,1 năm,Toàn thời gian,Nam,Khác,Không yêu cầu,Hà Nội
15000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,javascript,tiếng anh,Hà Nội
12500000.0,Nhân viên,2 năm,Toàn thời gian,Nam,Khác,Không yêu cầu,Hà Nội
13500000.0,Trưởng nhóm,2 năm,Toàn thời gian,Nữ,Khác,Không yêu cầu,Hồ Chí Minh
13500000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,c#,tiếng anh,Hồ Chí Minh
